dateday,year,month,hr,holiday,weekday,workingday,casual,registered,count
2011-01-01,0,Jan,0,0,Sat,0,3,13,16
2011-01-01,0,Jan,1,0,Sat,0,8,32,40
2011-01-01,0,Jan,2,0,Sat,0,5,27,32
2011-01-01,0,Jan,3,0,Sat,0,3,10,13
2011-01-01,0,Jan,4,0,Sat,0,0,1,1
2011-01-01,0,Jan,5,0,Sat,0,0,1,1
2011-01-01,0,Jan,6,0,Sat,0,2,0,2
2011-01-01,0,Jan,7,0,Sat,0,1,2,3
2011-01-01,0,Jan,8,0,Sat,0,1,7,8
2011-01-01,0,Jan,9,0,Sat,0,8,6,14
2011-01-01,0,Jan,10,0,Sat,0,12,24,36
2011-01-01,0,Jan,11,0,Sat,0,26,30,56
2011-01-01,0,Jan,12,0,Sat,0,29,55,84
2011-01-01,0,Jan,13,0,Sat,0,47,47,94
2011-01-01,0,Jan,14,0,Sat,0,35,71,106
2011-01-01,0,Jan,15,0,Sat,0,40,70,110
2011-01-01,0,Jan,16,0,Sat,0,41,52,93
2011-01-01,0,Jan,17,0,Sat,0,15,52,67
2011-01-01,0,Jan,18,0,Sat,0,9,26,35
2011-01-01,0,Jan,19,0,Sat,0,6,31,37
2011-01-01,0,Jan,20,0,Sat,0,11,25,36
2011-01-01,0,Jan,21,0,Sat,0,3,31,34
2011-01-01,0,Jan,22,0,Sat,0,11,17,28
2011-01-01,0,Jan,23,0,Sat,0,15,24,39
2011-01-02,0,Jan,0,0,Sun,0,4,13,17
2011-01-02,0,Jan,1,0,Sun,0,1,16,17
2011-01-02,0,Jan,2,0,Sun,0,1,8,9
2011-01-02,0,Jan,3,0,Sun,0,2,4,6
2011-01-02,0,Jan,4,0,Sun,0,2,1,3
2011-01-02,0,Jan,6,0,Sun,0,0,2,2
2011-01-02,0,Jan,7,0,Sun,0,0,1,1
2011-01-02,0,Jan,8,0,Sun,0,0,8,8
2011-01-02,0,Jan,9,0,Sun,0,1,19,20
2011-01-02,0,Jan,10,0,Sun,0,7,46,53
2011-01-02,0,Jan,11,0,Sun,0,16,54,70
2011-01-02,0,Jan,12,0,Sun,0,20,73,93
2011-01-02,0,Jan,13,0,Sun,0,11,64,75
2011-01-02,0,Jan,14,0,Sun,0,4,55,59
2011-01-02,0,Jan,15,0,Sun,0,19,55,74
2011-01-02,0,Jan,16,0,Sun,0,9,67,76
2011-01-02,0,Jan,17,0,Sun,0,7,58,65
2011-01-02,0,Jan,18,0,Sun,0,10,43,53
2011-01-02,0,Jan,19,0,Sun,0,1,29,30
2011-01-02,0,Jan,20,0,Sun,0,5,17,22
2011-01-02,0,Jan,21,0,Sun,0,11,20,31
2011-01-02,0,Jan,22,0,Sun,0,0,9,9
2011-01-02,0,Jan,23,0,Sun,0,0,8,8
2011-01-03,0,Jan,0,0,Mon,1,0,5,5
2011-01-03,0,Jan,1,0,Mon,1,0,2,2
2011-01-03,0,Jan,4,0,Mon,1,0,1,1
2011-01-03,0,Jan,5,0,Mon,1,0,3,3
2011-01-03,0,Jan,6,0,Mon,1,0,30,30
2011-01-03,0,Jan,7,0,Mon,1,1,63,64
2011-01-03,0,Jan,8,0,Mon,1,1,153,154
2011-01-03,0,Jan,9,0,Mon,1,7,81,88
2011-01-03,0,Jan,10,0,Mon,1,11,33,44
2011-01-03,0,Jan,11,0,Mon,1,10,41,51
2011-01-03,0,Jan,12,0,Mon,1,13,48,61
2011-01-03,0,Jan,13,0,Mon,1,8,53,61
2011-01-03,0,Jan,14,0,Mon,1,11,66,77
2011-01-03,0,Jan,15,0,Mon,1,14,58,72
2011-01-03,0,Jan,16,0,Mon,1,9,67,76
2011-01-03,0,Jan,17,0,Mon,1,11,146,157
2011-01-03,0,Jan,18,0,Mon,1,9,148,157
2011-01-03,0,Jan,19,0,Mon,1,8,102,110
2011-01-03,0,Jan,20,0,Mon,1,3,49,52
2011-01-03,0,Jan,21,0,Mon,1,3,49,52
2011-01-03,0,Jan,22,0,Mon,1,0,20,20
2011-01-03,0,Jan,23,0,Mon,1,1,11,12
2011-01-04,0,Jan,0,0,Tue,1,0,5,5
2011-01-04,0,Jan,1,0,Tue,1,0,2,2
2011-01-04,0,Jan,2,0,Tue,1,0,1,1
2011-01-04,0,Jan,4,0,Tue,1,0,2,2
2011-01-04,0,Jan,5,0,Tue,1,0,4,4
2011-01-04,0,Jan,6,0,Tue,1,0,36,36
2011-01-04,0,Jan,7,0,Tue,1,2,92,94
2011-01-04,0,Jan,8,0,Tue,1,2,177,179
2011-01-04,0,Jan,9,0,Tue,1,2,98,100
2011-01-04,0,Jan,10,0,Tue,1,5,37,42
2011-01-04,0,Jan,11,0,Tue,1,7,50,57
2011-01-04,0,Jan,12,0,Tue,1,12,66,78
2011-01-04,0,Jan,13,0,Tue,1,18,79,97
2011-01-04,0,Jan,14,0,Tue,1,9,54,63
2011-01-04,0,Jan,15,0,Tue,1,17,48,65
2011-01-04,0,Jan,16,0,Tue,1,15,68,83
2011-01-04,0,Jan,17,0,Tue,1,10,202,212
2011-01-04,0,Jan,18,0,Tue,1,3,179,182
2011-01-04,0,Jan,19,0,Tue,1,2,110,112
2011-01-04,0,Jan,20,0,Tue,1,1,53,54
2011-01-04,0,Jan,21,0,Tue,1,0,48,48
2011-01-04,0,Jan,22,0,Tue,1,1,34,35
2011-01-04,0,Jan,23,0,Tue,1,2,9,11
2011-01-05,0,Jan,0,0,Wed,1,0,6,6
2011-01-05,0,Jan,1,0,Wed,1,0,6,6
2011-01-05,0,Jan,2,0,Wed,1,0,2,2
2011-01-05,0,Jan,4,0,Wed,1,0,2,2
2011-01-05,0,Jan,5,0,Wed,1,0,3,3
2011-01-05,0,Jan,6,0,Wed,1,0,33,33
2011-01-05,0,Jan,7,0,Wed,1,1,87,88
2011-01-05,0,Jan,8,0,Wed,1,3,192,195
2011-01-05,0,Jan,9,0,Wed,1,6,109,115
2011-01-05,0,Jan,10,0,Wed,1,4,53,57
2011-01-05,0,Jan,11,0,Wed,1,12,34,46
2011-01-05,0,Jan,12,0,Wed,1,5,74,79
2011-01-05,0,Jan,13,0,Wed,1,6,65,71
2011-01-05,0,Jan,14,0,Wed,1,10,52,62
2011-01-05,0,Jan,15,0,Wed,1,7,55,62
2011-01-05,0,Jan,16,0,Wed,1,4,85,89
2011-01-05,0,Jan,17,0,Wed,1,4,186,190
2011-01-05,0,Jan,18,0,Wed,1,3,166,169
2011-01-05,0,Jan,19,0,Wed,1,5,127,132
2011-01-05,0,Jan,20,0,Wed,1,7,82,89
2011-01-05,0,Jan,21,0,Wed,1,3,40,43
2011-01-05,0,Jan,22,0,Wed,1,1,41,42
2011-01-05,0,Jan,23,0,Wed,1,1,18,19
2011-01-06,0,Jan,0,0,Thur,1,0,11,11
2011-01-06,0,Jan,1,0,Thur,1,0,4,4
2011-01-06,0,Jan,2,0,Thur,1,0,2,2
2011-01-06,0,Jan,4,0,Thur,1,0,1,1
2011-01-06,0,Jan,5,0,Thur,1,0,4,4
2011-01-06,0,Jan,6,0,Thur,1,0,36,36
2011-01-06,0,Jan,7,0,Thur,1,0,95,95
2011-01-06,0,Jan,8,0,Thur,1,3,216,219
2011-01-06,0,Jan,9,0,Thur,1,6,116,122
2011-01-06,0,Jan,10,0,Thur,1,3,42,45
2011-01-06,0,Jan,11,0,Thur,1,2,57,59
2011-01-06,0,Jan,12,0,Thur,1,6,78,84
2011-01-06,0,Jan,13,0,Thur,1,12,55,67
2011-01-06,0,Jan,14,0,Thur,1,11,59,70
2011-01-06,0,Jan,15,0,Thur,1,8,54,62
2011-01-06,0,Jan,16,0,Thur,1,12,74,86
2011-01-06,0,Jan,17,0,Thur,1,9,163,172
2011-01-06,0,Jan,18,0,Thur,1,5,158,163
2011-01-06,0,Jan,19,0,Thur,1,3,109,112
2011-01-06,0,Jan,20,0,Thur,1,3,66,69
2011-01-06,0,Jan,21,0,Thur,1,0,48,48
2011-01-06,0,Jan,22,0,Thur,1,1,51,52
2011-01-06,0,Jan,23,0,Thur,1,4,19,23
2011-01-07,0,Jan,0,0,Fri,1,4,13,17
2011-01-07,0,Jan,1,0,Fri,1,2,5,7
2011-01-07,0,Jan,2,0,Fri,1,0,1,1
2011-01-07,0,Jan,4,0,Fri,1,0,1,1
2011-01-07,0,Jan,5,0,Fri,1,0,5,5
2011-01-07,0,Jan,6,0,Fri,1,8,26,34
2011-01-07,0,Jan,7,0,Fri,1,8,76,84
2011-01-07,0,Jan,8,0,Fri,1,20,190,210
2011-01-07,0,Jan,9,0,Fri,1,9,125,134
2011-01-07,0,Jan,10,0,Fri,1,16,47,63
2011-01-07,0,Jan,11,0,Fri,1,19,48,67
2011-01-07,0,Jan,12,0,Fri,1,9,50,59
2011-01-07,0,Jan,13,0,Fri,1,9,64,73
2011-01-07,0,Jan,14,0,Fri,1,7,43,50
2011-01-07,0,Jan,15,0,Fri,1,9,63,72
2011-01-07,0,Jan,16,0,Fri,1,5,82,87
2011-01-07,0,Jan,17,0,Fri,1,9,178,187
2011-01-07,0,Jan,18,0,Fri,1,7,116,123
2011-01-07,0,Jan,19,0,Fri,1,3,92,95
2011-01-07,0,Jan,20,0,Fri,1,1,50,51
2011-01-07,0,Jan,21,0,Fri,1,0,39,39
2011-01-07,0,Jan,22,0,Fri,1,2,34,36
2011-01-07,0,Jan,23,0,Fri,1,1,14,15
2011-01-08,0,Jan,0,0,Sat,0,1,24,25
2011-01-08,0,Jan,1,0,Sat,0,1,15,16
2011-01-08,0,Jan,2,0,Sat,0,3,13,16
2011-01-08,0,Jan,3,0,Sat,0,0,7,7
2011-01-08,0,Jan,4,0,Sat,0,0,1,1
2011-01-08,0,Jan,5,0,Sat,0,0,5,5
2011-01-08,0,Jan,6,0,Sat,0,0,2,2
2011-01-08,0,Jan,7,0,Sat,0,1,8,9
2011-01-08,0,Jan,8,0,Sat,0,0,15,15
2011-01-08,0,Jan,9,0,Sat,0,0,20,20
2011-01-08,0,Jan,10,0,Sat,0,5,56,61
2011-01-08,0,Jan,11,0,Sat,0,2,60,62
2011-01-08,0,Jan,12,0,Sat,0,8,90,98
2011-01-08,0,Jan,13,0,Sat,0,7,95,102
2011-01-08,0,Jan,14,0,Sat,0,12,83,95
2011-01-08,0,Jan,15,0,Sat,0,5,69,74
2011-01-08,0,Jan,16,0,Sat,0,8,68,76
2011-01-08,0,Jan,17,0,Sat,0,5,64,69
2011-01-08,0,Jan,18,0,Sat,0,3,52,55
2011-01-08,0,Jan,19,0,Sat,0,4,26,30
2011-01-08,0,Jan,20,0,Sat,0,0,28,28
2011-01-08,0,Jan,21,0,Sat,0,2,35,37
2011-01-08,0,Jan,22,0,Sat,0,1,33,34
2011-01-08,0,Jan,23,0,Sat,0,0,22,22
2011-01-09,0,Jan,0,0,Sun,0,1,24,25
2011-01-09,0,Jan,1,0,Sun,0,0,12,12
2011-01-09,0,Jan,2,0,Sun,0,0,11,11
2011-01-09,0,Jan,3,0,Sun,0,0,4,4
2011-01-09,0,Jan,4,0,Sun,0,0,1,1
2011-01-09,0,Jan,5,0,Sun,0,0,1,1
2011-01-09,0,Jan,6,0,Sun,0,0,1,1
2011-01-09,0,Jan,7,0,Sun,0,1,5,6
2011-01-09,0,Jan,8,0,Sun,0,0,10,10
2011-01-09,0,Jan,9,0,Sun,0,0,19,19
2011-01-09,0,Jan,10,0,Sun,0,0,49,49
2011-01-09,0,Jan,11,0,Sun,0,2,47,49
2011-01-09,0,Jan,12,0,Sun,0,4,79,83
2011-01-09,0,Jan,13,0,Sun,0,6,69,75
2011-01-09,0,Jan,14,0,Sun,0,8,64,72
2011-01-09,0,Jan,15,0,Sun,0,5,77,82
2011-01-09,0,Jan,16,0,Sun,0,13,79,92
2011-01-09,0,Jan,17,0,Sun,0,3,59,62
2011-01-09,0,Jan,18,0,Sun,0,4,44,48
2011-01-09,0,Jan,19,0,Sun,0,1,40,41
2011-01-09,0,Jan,20,0,Sun,0,0,38,38
2011-01-09,0,Jan,21,0,Sun,0,1,19,20
2011-01-09,0,Jan,22,0,Sun,0,5,10,15
2011-01-09,0,Jan,23,0,Sun,0,0,6,6
2011-01-10,0,Jan,0,0,Mon,1,2,3,5
2011-01-10,0,Jan,1,0,Mon,1,1,0,1
2011-01-10,0,Jan,2,0,Mon,1,0,3,3
2011-01-10,0,Jan,3,0,Mon,1,0,1,1
2011-01-10,0,Jan,4,0,Mon,1,1,2,3
2011-01-10,0,Jan,5,0,Mon,1,0,3,3
2011-01-10,0,Jan,6,0,Mon,1,0,31,31
2011-01-10,0,Jan,7,0,Mon,1,2,75,77
2011-01-10,0,Jan,8,0,Mon,1,4,184,188
2011-01-10,0,Jan,9,0,Mon,1,2,92,94
